Opponent,UGA 1Q,UGA 2Q,UGA 3Q,UGA 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
Oregon,7,21,14,7,0,3,0,0
Samford,13,17,0,3,0,0,0,0
South Carolina,14,10,21,3,0,0,0,7
Kent State,2,14,6,7,3,10,3,6
Missouri,0,6,6,14,3,13,3,3
Auburn,0,14,7,21,0,0,3,7
Vanderbilt,14,14,6,21,0,0,0,0
Florida,14,14,7,7,0,3,17,0
Tennessee,14,10,3,0,3,3,0,7
Mississippi State,7,10,14,14,0,12,7,0
Kentucky,3,6,7,0,0,0,0,6
Georgia Tech,3,7,13,14,7,0,0,7
LSU,14,21,7,8,7,3,13,7
Ohio State,7,17,0,18,7,21,10,3
TCU,17,21,14,13,7,0,0,0
